d,y,U_hat,in_genesis_segment
1.0,0.11801342624101227,0.18706619938253513,1
1.0,0.1186106014289703,0.1870618121430873,1
1.0,0.11921079846127666,0.18705738067173713,1
1.0,0.11981403262916161,0.18705290452526996,1
1.0,0.12042031930123236,0.18704838325608383,1
1.0,0.12102967392386503,0.18704381641214643,1
1.0,0.1216421120215979,0.18703920353695275,1
1.0,0.122257649197527,0.1870345441694817,1
1.0,0.12287630113370365,0.18702983784415259,1
1.0,0.12349808359153393,0.18702508409078114,1
1.0,0.12412301241218028,0.18702028243453514,1
1.0,0.12475110351696518,0.18701543239588947,1
1.0,0.12538237290777648,0.1870105334905814,1
1.0,0.1260168366674754,0.18700558522956437,1
1.0,0.12665451096030622,0.18700058711896234,1
1.0,0.12729541203230788,0.18699553866002336,1
1.0,0.12793955621172814,0.18699043934907253,1
1.0,0.12858695990943939,0.18698528867746492,1
1.0,0.1292376396193569,0.18698008613153755,1
1.0,0.12989161191885895,0.1869748311925616,1
1.0,0.13054889346920903,0.1869695233366937,1
1.0,0.13120950101598064,0.18696416203492677,1
1.0,0.13187345138948373,0.1869587467530406,1
1.0,0.13254076150519345,0.18695327695155217,1
1.0,0.1332114483641812,0.186947752085665,1
1.0,0.13388552905354767,0.18694217160521848,1
1.0,0.13456302074685833,0.1869365349546366,1
1.0,0.13524394070458073,0.1869308415728761,1
1.0,0.13592830627452454,0.18692509089337453,1
1.0,0.1366161348922831,0.18691928234399724,1
1.0,0.13730744408167808,0.18691341534698455,1
1.0,0.13800225145520573,0.18690748931889797,1
1.0,0.13870057471448546,0.1869015036705662,1
1.0,0.13940243165071114,0.1868954578070306,1
1.0,0.14010784014510405,0.18688935112748992,1
1.0,0.14081681816936864,0.186883183025245,1
1.0,0.14152938378615038,0.18687695288764267,1
1.0,0.14224555514949572,0.1868706600960191,1
1.0,0.14296535050531495,0.18686430402564297,1
1.0,0.14368878819184683,0.18685788404565767,1
1.0,0.14441588664012583,0.18685139951902363,1
1.0,0.14514666437445173,0.18684484980245944,1
1.0,0.14588114001286154,0.18683823424638282,1
1.0,0.14661933226760382,0.18683155219485117,1
1.0,0.1473612599456155,0.18682480298550153,1
1.0,0.14810694194900076,0.1868179859494895,1
1.0,0.14885639727551297,0.18681110041142876,1
1.0,0.14960964501903853,0.18680414568932863,1
1.0,0.1503667043700832,0.18679712109453245,1
1.0,0.15112759461626124,0.18679002593165447,1
1.0,0.15189233514278658,0.1867828594985165,1
1.0,0.1526609454329669,0.18677562108608425,1
1.0,0.15343344506869996,0.18676830997840277,1
1.0,0.15420985373097224,0.18676092545253137,1
1.0,0.1549901912003607,0.1867534667784784,1
1.0,0.15577447735753663,0.18674593321913466,1
1.0,0.15656273218377204,0.18673832403020715,1
1.0,0.15735497576144875,0.18673063846015162,1
1.0,0.15815122827457018,0.18672287575010466,1
1.0,0.15895151000927538,0.18671503513381563,1
1.0,0.15975584135435605,0.18670711583757718,1
1.0,0.16056424280177567,0.1866991170801561,1
1.0,0.16137673494719199,0.1866910380727229,1
1.0,0.16219333849048148,0.18668287801878103,1
1.0,0.16301407423626676,0.18667463611409577,1
1.0,0.1638389630944467,0.18666631154662194,1
1.0,0.16466802608072897,0.18665790349643144,1
1.0,0.16550128431716565,0.18664941113564013,1
1.0,0.1663387590326914,0.18664083362833386,1
1.0,0.16718047156366386,0.1866321701304943,1
1.0,0.1680264433544079,0.18662341978992353,1
1.0,0.1688766959577614,0.18661458174616868,1
1.0,0.16973125103562475,0.18660565513044536,1
1.0,0.17059013035951245,0.18659663906556095,1
1.0,0.17145335581110793,0.18658753266583686,1
1.0,0.172320949382821,0.18657833503703025,1
1.0,0.17319293317834816,0.1865690452762553,1
1.0,0.17406932941323555,0.1865596624719037,1
1.0,0.17495016041544534,0.18655018570356421,1
1.0,0.17583544862592418,0.18654061404194208,1
1.0,0.17672521659917517,0.18653094654877742,1
1.0,0.17761948700383243,0.186521182276763,1
1.0,0.1785182826232385,0.18651132026946152,1
1.0,0.179421626356025,0.186501359561222,1
1.0,0.1803295412166959,0.18649129917709553,1
1.0,0.1812420503362137,0.18648113813275063,1
1.0,0.18215917696258918,0.18647087543438728,1
1.0,0.18308094446147324,0.18646051007865116,1
1.0,0.18400737631675243,0.18645004105254623,1
1.0,0.1849384961311472,0.18643946733334724,1
1.0,0.1858743276268132,0.18642878788851172,1
1.0,0.18681489464594564,0.18641800167559028,1
1.0,0.1877602211513868,0.18640710764213744,1
