curve,d,kappa,n_s,alpha_s,ln_S_R
fit,0.3,5.550868030059811e-07,0.9688060545806412,-0.00914450349961081,
fit,0.3,5.713368428315579e-07,0.968541101508482,-0.00922039449852835,
fit,0.3,5.880625988746756e-07,0.9682739499893073,-0.009296885725016649,
fit,0.3,6.052779976193355e-07,0.9680045826442262,-0.00937398152276199,
fit,0.3,6.229973732441834e-07,0.967732981967908,-0.00945168623629003,
fit,0.3,6.412354795576917e-07,0.9674591303337001,-0.009530003818931751,
fit,0.3,6.600075022827102e-07,0.96718300998961,-0.009608938947834017,
fit,0.3,6.793290717006688e-07,0.9669046030548314,-0.009688496067885827,
fit,0.3,6.992162756659375e-07,0.966623891526667,-0.009768679001215877,
fit,0.3,7.196856730011514e-07,0.9663408572763679,-0.00984949255755703,
fit,0.3,7.407543072847155e-07,0.9660554820428349,-0.009930941180168656,
fit,0.3,7.624397210419138e-07,0.9657677474420611,-0.010013029194085324,
fit,0.3,7.847599703514607e-07,0.9654776349587252,-0.010095761018340949,
fit,0.3,8.077336398796703e-07,0.9651851259506271,-0.010179141184815707,
fit,0.3,8.313798583547334e-07,0.9648902016416644,-0.01026317428228389,
fit,0.3,8.557183144940002e-07,0.9645928431301645,-0.010347864959125624,
fit,0.3,8.807692733975452e-07,0.9642930313792558,-0.01043321718628866,
fit,0.3,9.065535934216359e-07,0.9639907472223829,-0.010519236423848735,
fit,0.3,9.330927435461664e-07,0.963685971359347,-0.010605926910094973,
fit,0.3,9.60408821250537e-07,0.9633786843576496,-0.010693292982644959,
fit,0.3,9.88524570912828e-07,0.9630688666511613,-0.010781339233231393,
fit,0.3,1.0174634027476063e-06,0.9627564985388251,-0.01087007084743545,
fit,0.3,1.0472494122981475e-06,0.9624415601847627,-0.01095949239858729,
fit,0.3,1.0779074004992737e-06,0.9621240316184171,-0.011049608199285355,
fit,0.3,1.1094628943275218e-06,0.9618038927301086,-0.011140423317230003,
fit,0.3,1.1419421680558647e-06,0.9614811232763915,-0.011231942331818234,
fit,0.3,1.1753722651306367e-06,0.9611557028750944,-0.011324170274632422,
fit,0.3,1.2097810206889012e-06,0.9608276110046745,-0.011417111684953823,
fit,0.3,1.2451970847350319e-06,0.9604968270067026,-0.011510771601320191,
fit,0.3,1.2816499459957596e-06,0.9601633300821065,-0.011605154647339883,
fit,0.3,1.3191699564735718e-06,0.9598270992929653,-0.011700265883608646,
fit,0.3,1.3577883567189277e-06,0.9594881135587521,-0.011796110110781327,
fit,0.3,1.3975373018422926e-06,0.959146351657869,-0.0118926922206474,
fit,0.3,1.438449888287663e-06,0.958801792230411,-0.011990017296052674,
fit,0.3,1.4805601813899102e-06,0.95845441376863,-0.012088089797085172,
fit,0.3,1.5239032437388304e-06,0.9581041946245286,-0.012186915371229928,
fit,0.3,1.5685151643735445e-06,0.9577511130078289,-0.012286498551993291,
fit,0.3,1.614433088831602e-06,0.9573951469803509,-0.012386844388472595,
fit,0.3,1.6616952500776905e-06,0.9570362744607636,-0.012487958135823013,
fit,0.3,1.7103410003378378e-06,0.9566744732231068,-0.012589844756296653,
fit,0.3,1.7604108438655526e-06,0.9563097208932039,-0.01269250927683635,
fit,0.3,1.8119464706671223e-06,0.9559419949525166,-0.012795956933894043,
fit,0.3,1.8649907912142943e-06,0.9555712727325826,-0.01290019224657138,
fit,0.3,1.919587972173111e-06,0.9551975314188809,-0.013005221142720513,
fit,0.3,1.9757834731786993e-06,0.9548207480483638,-0.013111048315770063,
fit,0.3,2.03362408468667e-06,0.9544408995076253,-0.013217679330849191,
fit,0.3,2.093157966932574e-06,0.9540579625347281,-0.013325119262467489,
fit,0.3,2.1544346900318822e-06,0.9536719137171273,-0.01343337292825178,
fit,0.3,2.2175052752539296e-06,0.9532827294905187,-0.013542446050884005,
fit,0.3,2.2824222375040977e-06,0.9528903861424093,-0.013652343181687482,
fit,0.3,2.349239629049658e-06,0.9524948598038184,-0.013763070406607347,
fit,0.3,2.418013084525718e-06,0.9520961264576465,-0.01387463286646956,
fit,0.3,2.488799867258667e-06,0.9516941619313689,-0.013987035484349625,
fit,0.3,2.5616589169457267e-06,0.9512889418990857,-0.014100283910246258,
fit,0.3,2.6366508987303555e-06,0.950880441880865,-0.014214383355248966,
fit,0.3,2.71383825371428e-06,0.950468637243087,-0.01432933919002638,
fit,0.3,2.793285250948253e-06,0.950053503195746,-0.014445156784849617,
fit,0.3,2.875058040944877e-06,0.9496350147934379,-0.014561841828699157,
fit,0.3,2.9592247107579573e-06,0.9492131469360231,-0.014679399485295397,
fit,0.3,3.045855340674284e-06,0.9487878743631238,-0.014797834991488595,
fit,0.3,3.1350220625651123e-06,0.9483591716613251,-0.01491715414826561,
fit,0.3,3.226799119945812e-06,0.9479270132564576,-0.015037362254697068,
fit,0.3,3.321262929793748e-06,0.9474913734185177,-0.015158465211791233,
fit,0.3,3.418492146175927e-06,0.9470522262560049,-0.015280467907243855,
fit,0.3,3.5185677257392664e-06,0.9466095457197756,-0.015403376220450904,
fit,0.3,3.621572995118075e-06,0.9461633056007992,-0.015527195756999485,
fit,0.3,3.727593720314938e-06,0.9457134795307711,-0.01565193175324711,
fit,0.3,3.836718178112649e-06,0.9452600409792202,-0.015777589956447707,
fit,0.3,3.949037229576694e-06,0.9448029632543259,-0.01590417601615776,
fit,0.3,4.0646443957096275e-06,0.9443422195052081,-0.01603169539916005,
fit,0.3,4.183635935320023e-06,0.9438777827166517,-0.016160154263940824,
fit,0.3,4.306110925171165e-06,0.9434096257102919,-0.016289557460543808,
fit,0.3,4.432171342476085e-06,0.9429377211482054,-0.016419910884057504,
fit,0.3,4.561922149807459e-06,0.9424620415259701,-0.016551220447574705,
fit,0.3,4.695471382493421e-06,0.9419825591763885,-0.01668349204678074,
fit,0.3,4.832930238571752e-06,0.9414992462680359,-0.016816730375397576,
fit,0.3,4.974413171377452e-06,0.9410120748067335,-0.01695094228281166,
fit,0.3,5.120037984840882e-06,0.9405210166299884,-0.01708613269471343,
fit,0.3,5.269925931575657e-06,0.9400260434121742,-0.017222308007024928,
fit,0.3,5.424201813838024e-06,0.9395271266599364,-0.01735947363106871,
fit,0.3,5.582994087441914e-06,0.9390242377178847,-0.017497635145495377,
fit,0.3,5.746434968715974e-06,0.9385173477596922,-0.017636798456049596,
fit,0.3,5.914660544591746e-06,0.9380064277932393,-0.017776969577129403,
fit,0.3,6.087810885914756e-06,0.9374914486609608,-0.017918153963483785,
fit,0.3,6.266030164072656e-06,0.9369723810356625,-0.018060357873515065,
fit,0.3,6.449466771037621e-06,0.9364491954233861,-0.01820358674652231,
fit,0.3,6.638273442923075e-06,0.9359218621617481,-0.018347846645364096,
fit,0.3,6.832607387157405e-06,0.9353903514184413,-0.018493143149279107,
fit,0.3,7.032630413380643e-06,0.9348546331939799,-0.018639482306071514,
fit,0.3,7.2385090681732476e-06,0.9343146773191663,-0.01878687030417306,
fit,0.3,7.450414773728917e-06,0.9337704534551877,-0.018935312062418025,
fit,0.3,7.66852397058701e-06,0.9332219310937431,-0.019084814620652257,
fit,0.3,7.893018264543566e-06,0.9326690795549233,-0.019235383274888107,
